"Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"devtools","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","2.4.5",NA,"R (>= 3.0.2), usethis (>= 2.1.6)","cli (>= 3.3.0), desc (>= 1.4.1), ellipsis (>= 0.3.2), fs (>=
1.5.2), lifecycle (>= 1.0.1), memoise (>= 2.0.1), miniUI (>=
0.1.1.1), pkgbuild (>= 1.3.1), pkgdown (>= 2.0.6), pkgload (>=
1.3.0), profvis (>= 0.3.7), rcmdcheck (>= 1.4.0), remotes (>=
2.4.2), rlang (>= 1.0.4), roxygen2 (>= 7.2.1), rversions (>=
2.1.1), sessioninfo (>= 1.2.2), stats, testthat (>= 3.1.5),
tools, urlchecker (>= 1.0.1), utils, withr (>= 2.5.0)",NA,"BiocManager (>= 1.30.18), callr (>= 3.7.1), covr (>= 3.5.1),
curl (>= 4.3.2), digest (>= 0.6.29), DT (>= 0.23), foghorn (>=
1.4.2), gh (>= 1.3.0), gmailr (>= 1.0.1), httr (>= 1.4.3),
knitr (>= 1.39), lintr (>= 3.0.0), MASS, mockery (>= 0.4.3),
pingr (>= 2.0.1), rhub (>= 1.1.1), rmarkdown (>= 2.14),
rstudioapi (>= 0.13), spelling (>= 2.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"DiagrammeR","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.0.11",NA,"R (>= 3.2)","dplyr (>= 1.0.7), glue (>= 1.5.0), htmltools (>= 0.5.2),
htmlwidgets (>= 1.5), igraph (>= 1.4.0), magrittr (>= 1.5),
purrr (>= 0.3.4), RColorBrewer (>= 1.1-2), readr (>= 2.1.1),
rlang (>= 1.1.0), cli, rstudioapi (>= 0.7), scales (>= 1.1),
stringr (>= 1.4), tibble (>= 3.1), tidyr (>= 1.1), viridisLite
(>= 0.4.2), visNetwork (>= 2.1.0)",NA,"curl, DiagrammeRsvg, knitr, rmarkdown, rsvg, testthat (>=
3.1.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"diffobj","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.3.5",NA,"R (>= 3.1.0)","crayon (>= 1.3.2), tools, methods, utils, stats",NA,"knitr, rmarkdown",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"digest","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.6.37",NA,"R (>= 3.3.0)","utils",NA,"tinytest, simplermarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"dior","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.1.5",NA,NA,"Seurat, hdf5r, Matrix, SingleCellExperiment,
SummarizedExperiment, Hmisc, methods",NA,NA,NA,"GPL-3 + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"dir.expiry","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.12.0",NA,NA,"utils, filelock",NA,"rmarkdown, knitr, testthat, BiocStyle",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"doBy","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","4.6.22",NA,"R (>= 4.2.0), methods","boot, broom, cowplot, Deriv, dplyr, ggplot2, MASS, Matrix,
modelr, microbenchmark, rlang, tibble, tidyr,",NA,"geepack, knitr, lme4, markdown, multcomp, pbkrtest (>=
0.4-8.1), survival, testthat (>= 2.1.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"doParallel","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.0.17",NA,"R (>= 2.14.0), foreach (>= 1.2.0), iterators (>= 1.0.0),
parallel, utils",NA,NA,"caret, mlbench, rpart, RUnit","compiler","GPL-2",NA,NA,NA,NA,"no","4.4.0"
"doRNG","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.8.6",NA,"R (>= 3.0.0), foreach, rngtools (>= 1.5)","stats, utils, iterators",NA,"doParallel, doMPI, doRedis, rbenchmark, devtools, knitr,
rbibutils (>= 1.3), testthat, pkgmaker (>= 0.32.7), covr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"DOSE","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","3.30.4",NA,"R (>= 3.5.0)","AnnotationDbi, BiocParallel, fgsea, ggplot2, GOSemSim (>=
2.30.2), methods, qvalue, reshape2, stats, utils",NA,"prettydoc, clusterProfiler, gson (>= 0.0.5), knitr,
rmarkdown, org.Hs.eg.db, testthat, yulab.utils",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.1"
"dotCall64","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.1-1",NA,"R (>= 3.1)",NA,NA,"microbenchmark, RhpcBLASctl, RColorBrewer, roxygen2, spam,
testthat,",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"DoubletFinder","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","2.0.4",NA,NA,"fields, KernSmooth, ROCR, parallel",NA,NA,NA,"CC-0",NA,NA,NA,NA,"no","4.4.0"
"downlit","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.4.4",NA,"R (>= 4.0.0)","brio, desc, digest, evaluate, fansi, memoise, rlang, vctrs,
withr, yaml",NA,"covr, htmltools, jsonlite, MASS, MassSpecWavelet, pkgload,
rmarkdown, testthat (>= 3.0.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"downloader","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.4",NA,NA,"utils, digest",NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.0"
"dplyr","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.1.4",NA,"R (>= 3.5.0)","cli (>= 3.4.0), generics, glue (>= 1.3.2), lifecycle (>=
1.0.3), magrittr (>= 1.5), methods, pillar (>= 1.9.0), R6,
rlang (>= 1.1.0), tibble (>= 3.2.0), tidyselect (>= 1.2.0),
utils, vctrs (>= 0.6.4)",NA,"bench, broom, callr, covr, DBI, dbplyr (>= 2.2.1), ggplot2,
knitr, Lahman, lobstr, microbenchmark, nycflights13, purrr,
rmarkdown, RMySQL, RPostgreSQL, RSQLite, stringi (>= 1.7.6),
testthat (>= 3.1.5), tidyr (>= 1.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"dqrng","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.4.1",NA,"R (>= 3.5.0)","Rcpp (>= 0.12.16)","Rcpp, BH (>= 1.64.0-1), sitmo (>= 2.0.0)","BH, testthat, knitr, rmarkdown, mvtnorm (>= 1.2-3), bench,
sitmo",NA,"AGPL-3",NA,NA,NA,NA,"yes","4.4.0"
"dtplyr","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.3.1",NA,"R (>= 3.3)","cli (>= 3.4.0), data.table (>= 1.13.0), dplyr (>= 1.1.0),
glue, lifecycle, rlang (>= 1.0.4), tibble, tidyselect (>=
1.2.0), vctrs (>= 0.4.1)",NA,"bench, covr, knitr, rmarkdown, testthat (>= 3.1.2), tidyr (>=
1.1.0), waldo (>= 0.3.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"e1071","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.7-14",NA,NA,"graphics, grDevices, class, stats, methods, utils, proxy",NA,"cluster, mlbench, nnet, randomForest, rpart, SparseM, xtable,
Matrix, MASS, slam",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"ellipsis","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.3.2",NA,"R (>= 3.2)","rlang (>= 0.3.0)",NA,"covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"EnhancedVolcano","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.13.2",NA,"ggplot2, ggrepel","methods",NA,"ggalt, ggrastr, RUnit, BiocGenerics, knitr, DESeq2, pasilla,
airway, org.Hs.eg.db, gridExtra, magrittr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"enrichplot","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.24.2",NA,"R (>= 3.5.0)","aplot (>= 0.2.1), DOSE (>= 3.16.0), ggfun (>= 0.1.3),
ggnewscale, ggplot2, ggraph, graphics, grid, igraph, methods,
plyr, purrr, RColorBrewer, reshape2, rlang, stats, utils,
scatterpie, shadowtext, GOSemSim, magrittr, ggtree, yulab.utils
(>= 0.0.8)",NA,"clusterProfiler, dplyr, europepmc, ggupset, knitr, rmarkdown,
org.Hs.eg.db, prettydoc, tibble, tidyr, ggforce, AnnotationDbi,
ggplotify, ggridges, grDevices, gridExtra, ggrepel (>= 0.9.0),
ggstar, scales, ggtreeExtra, tidydr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.1"
"evaluate","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.24.0",NA,"R (>= 4.0.0)","methods",NA,"covr, ggplot2, lattice, rlang, testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"expm","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.999-9",NA,"Matrix","methods",NA,"RColorBrewer, sfsmisc, Rmpfr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"fansi","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.0.6",NA,"R (>= 3.1.0)","grDevices, utils",NA,"unitizer, knitr, rmarkdown",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"farver","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","2.1.2",NA,NA,NA,NA,"covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"fastDummies","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.7.4",NA,"R (>= 2.10)","data.table, tibble, stringr",NA,"testthat (>= 2.1.0), knitr, rmarkdown, covr, spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"fastmap","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.2.0",NA,NA,NA,NA,"testthat (>= 2.1.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"fastmatch","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.1-4",NA,"R (>= 2.3.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.0"
"fgsea","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.30.0",NA,"R (>= 4.1)","Rcpp, data.table, BiocParallel, stats, ggplot2 (>= 2.2.0),
cowplot, grid, fastmatch, Matrix, scales, utils","Rcpp, BH","testthat, knitr, rmarkdown, reactome.db, AnnotationDbi,
parallel, org.Mm.eg.db, limma, GEOquery, msigdbr, aggregation,
Seurat",NA,"MIT + file LICENCE",NA,NA,NA,NA,"yes","4.4.0"
"fields","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","16.2",NA,"R (>= 3.5.0), methods, spam, viridisLite","maps",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"filelock","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.0.3",NA,"R (>= 3.4)",NA,NA,"callr (>= 2.0.0), covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"fitdistrplus","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.2-1",NA,"R (>= 3.5.0), MASS, grDevices, survival, methods","stats, rlang",NA,"actuar, rgenoud, mc2d, gamlss.dist, knitr, ggplot2,
GeneralizedHyperbolic, rmarkdown, Hmisc, bookdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"FNN","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.1.4",NA,"R (>= 4.0.0)",NA,NA,"chemometrics, mvtnorm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.0"
"fontawesome","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.5.2",NA,"R (>= 3.3.0)","rlang (>= 1.0.6), htmltools (>= 0.5.1.1)",NA,"covr, dplyr (>= 1.0.8), knitr (>= 1.31), testthat (>= 3.0.0),
rsvg",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"forcats","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.0.0",NA,"R (>= 3.4)","cli (>= 3.4.0), glue, lifecycle, magrittr, rlang (>= 1.0.0),
tibble",NA,"covr, dplyr, ggplot2, knitr, readr, rmarkdown, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"foreach","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.5.2",NA,"R (>= 2.5.0)","codetools, utils, iterators",NA,"randomForest, doMC, doParallel, testthat, knitr, rmarkdown",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.4.0"
"formatR","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.14",NA,"R (>= 3.2.3)",NA,NA,"rstudioapi, shiny, testit, rmarkdown, knitr",NA,"GPL",NA,NA,NA,NA,"no","4.4.0"
"Formula","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.2-5",NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.4.0"
"fs","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.6.4",NA,"R (>= 3.6)","methods",NA,"covr, crayon, knitr, pillar (>= 1.0.0), rmarkdown, spelling,
testthat (>= 3.0.0), tibble (>= 1.1.0), vctrs (>= 0.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"futile.logger","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.4.3",NA,"R (>= 3.0.0)","utils, lambda.r (>= 1.1.0), futile.options",NA,"testthat, jsonlite",NA,"LGPL-3",NA,NA,NA,NA,"no","4.4.0"
"futile.options","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.0.1",NA,"R (>= 2.8.0)",NA,NA,NA,NA,"LGPL-3",NA,NA,NA,NA,"no","4.4.0"
"future","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.34.0",NA,NA,"digest, globals (>= 0.16.1), listenv (>= 0.8.0), parallel,
parallelly (>= 1.38.0), utils",NA,"methods, RhpcBLASctl, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.4.1"
"future.apply","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.11.2",NA,"R (>= 3.2.0), future (>= 1.28.0)","globals (>= 0.16.1), parallel, utils",NA,"datasets, stats, tools, listenv (>= 0.8.0), R.rsp, markdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"gargle","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.5.2",NA,"R (>= 3.6)","cli (>= 3.0.1), fs (>= 1.3.1), glue (>= 1.3.0), httr (>=
1.4.5), jsonlite, lifecycle, openssl, rappdirs, rlang (>=
1.1.0), stats, utils, withr",NA,"aws.ec2metadata, aws.signature, covr, httpuv, knitr,
rmarkdown, sodium, spelling, testthat (>= 3.1.7)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"generics","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.1.3",NA,"R (>= 3.2)","methods",NA,"covr, pkgload, testthat (>= 3.0.0), tibble, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"GenomeInfoDb","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.40.1",NA,"R (>= 4.0.0), methods, BiocGenerics (>= 0.37.0), S4Vectors (>=
0.25.12), IRanges (>= 2.13.12)","stats, stats4, utils, UCSC.utils, GenomeInfoDbData",NA,"R.utils, data.table, GenomicRanges, Rsamtools,
GenomicAlignments, GenomicFeatures, BSgenome,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
BSgenome.Scerevisiae.UCSC.sacCer2, BSgenome.Celegans.UCSC.ce2,
BSgenome.Hsapiens.NCBI.GRCh38, RUnit, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.0"
"GenomeInfoDbData","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.2.12",NA,"R (>= 3.5.0)",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.0"
"GenomicRanges","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.56.1",NA,"R (>= 4.0.0), methods, stats4, BiocGenerics (>= 0.37.0),
S4Vectors (>= 0.27.12), IRanges (>= 2.37.1), GenomeInfoDb (>=
1.15.2)","utils, stats, XVector (>= 0.29.2)","S4Vectors, IRanges","Matrix, Biobase, AnnotationDbi, annotate, Biostrings (>=
2.25.3), SummarizedExperiment (>= 0.1.5), Rsamtools (>=
1.13.53), GenomicAlignments, rtracklayer, BSgenome,
GenomicFeatures, txdbmaker, Gviz, VariantAnnotation,
AnnotationHub, DESeq2, DEXSeq, edgeR, KEGGgraph,
RNAseqData.HNRNPC.bam.chr14, pasillaBamSubset, KEGGREST,
hgu95av2.db, hgu95av2probe, BSgenome.Scerevisiae.UCSC.sacCer2,
BSgenome.Hsapiens.UCSC.hg38, BSgenome.Mmusculus.UCSC.mm10,
TxDb.Athaliana.BioMart.plantsmart22,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
TxDb.Hsapiens.UCSC.hg38.knownGene,
TxDb.Mmusculus.UCSC.mm10.knownGene, RUnit, digest, knitr,
rmarkdown, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.4.1"
"gert","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","2.1.1",NA,NA,"askpass, credentials (>= 1.2.1), openssl (>= 2.0.3),
rstudioapi (>= 0.11), sys, zip (>= 2.1.0)",NA,"spelling, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"GetoptLong","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.0.5",NA,"R (>= 3.3.0)","rjson, GlobalOptions (>= 0.1.0), methods, crayon",NA,"testthat (>= 1.0.0), knitr, markdown, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"ggbeeswarm","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.7.2",NA,"R (>= 3.5.0), ggplot2 (>= 3.3.0)","beeswarm, lifecycle, vipor, cli",NA,"gridExtra",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.0"
"ggcorrplot","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.1.4.1",NA,"R (>= 3.3), ggplot2 (>= 3.3.6)","reshape2, stats",NA,"testthat (>= 3.0.0), knitr, spelling, vdiffr (>= 1.0.0)",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.1"
"ggExpress","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.9.0",NA,"ggplot2, ggpubr, MarkdownHelpers, Stringendo","CodeAndRoll2, cowplot, ggVennDiagram, MarkdownReports,
RColorBrewer, tibble",NA,NA,NA,"GPL-3 + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"ggforce","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.4.2",NA,"ggplot2 (>= 3.3.6), R (>= 3.3.0)","Rcpp (>= 0.12.2), grid, scales, MASS, tweenr (>= 0.1.5),
gtable, rlang, polyclip, stats, grDevices, tidyselect, withr,
utils, lifecycle, cli, vctrs, systemfonts","Rcpp, RcppEigen","sessioninfo, concaveman, deldir, latex2exp, reshape2, units
(>= 0.4-6), covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"ggfun","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.1.6",NA,"R (>= 4.1.0)","cli, dplyr, ggplot2, grid, rlang, utils, yulab.utils (>=
0.1.6)",NA,"ggplotify, knitr, rmarkdown, prettydoc, tidyr, ggnewscale",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.1"
"gghalves","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.1.4",NA,"ggplot2 (>= 3.3.6), R (>= 3.3.0)","grid, gtable, grDevices",NA,"knitr, rmarkdown, dplyr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"ggimage","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.3.3",NA,"R (>= 3.4.0), ggplot2","ggfun, ggplotify, grid, jsonlite, magick, methods, scales,
tibble, tools, utils, withr",NA,"ape, ggtree, gridGraphics, httr, rsvg",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.1"
"ggnewscale","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.5.0",NA,NA,"ggplot2 (>= 3.5.0)",NA,"testthat, vdiffr, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"ggplot2","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","3.5.1",NA,"R (>= 3.5)","cli, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
lifecycle (> 1.0.1), MASS, mgcv, rlang (>= 1.1.0), scales (>=
1.3.0), stats, tibble, vctrs (>= 0.6.0), withr (>= 2.5.0)",NA,"covr, dplyr, ggplot2movies, hexbin, Hmisc, knitr, mapproj,
maps, multcomp, munsell, nlme, profvis, quantreg, ragg (>=
1.2.6), RColorBrewer, rmarkdown, rpart, sf (>= 0.7-3), svglite
(>= 2.1.2), testthat (>= 3.1.2), vdiffr (>= 1.0.6), xml2","sp","MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"ggplotify","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.1.2",NA,"R (>= 3.4.0)","ggplot2, graphics, grDevices, grid, gridGraphics, yulab.utils",NA,"aplot, colorspace, cowplot, ggimage, knitr, rmarkdown,
lattice, prettydoc, vcd, utils",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.0"
"ggprism","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.0.5",NA,"R (>= 3.2)","digest, ggplot2 (>= 3.2.0), glue, grid, gtable (>= 0.1.1),
rlang (>= 0.3.0), scales (>= 0.5.0), stats, tibble, utils",NA,"covr, dplyr, ggbeeswarm, ggnewscale, knitr, magrittr,
patchwork, rmarkdown, rstatix, tidyr, tinytest",NA,"GPL (>= 3.0)",NA,NA,NA,NA,"no","4.4.0"
"ggpubr","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.6.0",NA,"R (>= 3.1.0), ggplot2 (>= 3.4.0)","ggrepel (>= 0.9.2), grid, ggsci, stats, utils, tidyr (>=
1.3.0), purrr, dplyr (>= 0.7.1), cowplot (>= 1.1.1), ggsignif,
scales, gridExtra, glue, polynom, rlang (>= 0.4.6), rstatix (>=
0.7.2), tibble, magrittr",NA,"grDevices, knitr, RColorBrewer, gtable, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.0"
"ggraph","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","2.2.1",NA,"R (>= 2.10), ggplot2 (>= 3.5.0)","dplyr, ggforce (>= 0.3.1), grid, igraph (>= 1.0.0), scales,
MASS, ggrepel, utils, stats, viridis, rlang, tidygraph,
graphlayouts (>= 1.1.0), withr, cli, vctrs, lifecycle, memoise","cpp11","network, knitr, rmarkdown, purrr, tibble, seriation, deldir,
gganimate, covr, sf, sfnetworks",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"ggrastr","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.0.2",NA,"R (>= 3.2.2)","ggplot2 (>= 2.1.0), Cairo (>= 1.5.9), ggbeeswarm, grid, png,
ragg",NA,"knitr, maps, rmarkdown, sf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"ggrepel","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.9.5",NA,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, rlang (>= 0.3.0), scales (>= 0.5.0), withr (>=
2.5.0)","Rcpp","knitr, rmarkdown, testthat, svglite, vdiffr, gridExtra, ggpp,
patchwork, devtools, prettydoc, ggbeeswarm, dplyr, magrittr,
readr, stringr",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.4.0"
"ggridges","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.5.6",NA,"R (>= 3.2)","ggplot2 (>= 3.4.0), grid (>= 3.0.0), scales (>= 0.4.1), withr
(>= 2.1.1)",NA,"covr, dplyr, patchwork, ggplot2movies, forcats, knitr,
rmarkdown, testthat, vdiffr",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"ggsci","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","3.2.0",NA,"R (>= 3.5.0)","ggplot2 (>= 2.0.0), grDevices, scales",NA,"gridExtra, knitr, ragg, rmarkdown",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.1"
"ggsignif","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.6.4",NA,NA,"ggplot2 (>= 3.3.5)",NA,"knitr, rmarkdown, testthat, vdiffr (>= 1.0.2)",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.4.0"
"ggtree","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","3.12.0",NA,"R (>= 3.5.0)","ape, aplot, dplyr, ggplot2 (> 3.3.6), grid, magrittr, methods,
purrr, rlang, ggfun (>= 0.0.9), yulab.utils, tidyr, tidytree
(>= 0.4.5), treeio (>= 1.8.0), utils, scales, stats, cli",NA,"emojifont, ggimage, ggplotify, shadowtext, grDevices, knitr,
prettydoc, rmarkdown, testthat, tibble, glue",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.4.0"
"ggVennDiagram","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.5.2",NA,"R (>= 4.1.0)","ggplot2 (>= 3.4.0), dplyr, methods, tibble, aplot, venn (>=
1.12), yulab.utils, forcats",NA,"testthat (>= 2.1.0), knitr, plotly, RColorBrewer, shiny,
rmarkdown, tidyr",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"gh","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","1.4.1",NA,"R (>= 3.6)","cli (>= 3.0.1), gitcreds, glue, httr2, ini, jsonlite,
lifecycle, rlang (>= 1.0.0)",NA,"covr, knitr, mockery, rmarkdown, rprojroot, spelling,
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"gitcreds","/home/mint/R/x86_64-pc-linux-gnu-library/4.4","0.1.2",NA,"R (>= 3.4)",NA,NA,"codetools, covr, knitr, mockery, oskeyring, rmarkdown,
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
